smoking   test        time
nonsmoker bicycle     12.8
nonsmoker bicycle     13.5
nonsmoker bicycle     11.2
nonsmoker treadmill   16.2
nonsmoker treadmill   18.1
nonsmoker treadmill   17.8
nonsmoker steptest    22.6
nonsmoker steptest    19.3
nonsmoker steptest    18.9
moderate  bicycle     10.9
moderate  bicycle     11.1
moderate  bicycle      9.8
moderate  treadmill   15.5
moderate  treadmill   13.8
moderate  treadmill   16.2
moderate  steptest    20.1
moderate  steptest    21.0
moderate  steptest    15.9
heavy     bicycle      8.7
heavy     bicycle      9.2
heavy     bicycle      7.5
heavy     treadmill   14.7
heavy     treadmill   13.2
heavy     treadmill    8.1
heavy     steptest    16.2
heavy     steptest    16.1
heavy     steptest    17.8
